CookerStat, GenerateAssetRegistry=0.024259, Initialize=0.122700, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionIdDEB4CA234772EA3B94F6ACB936F06B6C_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7F5638F54E3555A523085F8E10D5C__6FC47F2C91C5DB2DD6D3D359EE2A0CF940BEA9F3, StartTime=2016.05.18-09.45.36, HierarchicalDDC=, DataSize=65799, Duration=3.881555, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionId1E0D459D4C31AEC575DBD484328F6237_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7F5638F54E3555A523085F8E10D5C__6AF9AFF35B28A1C2C4C13E37FBA94C171A3EF330, StartTime=2016.05.18-09.45.36, HierarchicalDDC=, DataSize=16647, Duration=3.890887, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionIdDEB4CA234772EA3B94F6ACB936F06B6C_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_7F5638F54E3555A523085F8E10D5C__99A4602FD90EB6E2E08D08114B407A22CEAA1A89, StartTime=2016.05.18-09.45.36, HierarchicalDDC=, DataSize=6899, Duration=1.305826, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionId30BC294F4904585922FDD0B838FD9207_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_03E6608545D02BD1324CBDAA04FD6D22_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.18-09.45.37, Duration=2772.293945, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionId1E0D459D4C31AEC575DBD484328F6237_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_03E6608545D02BD1324CBDAA04FD6__40C8ADE93DBAFAB85B1AFE59B4EAAB4073DCA8A8, StartTime=2016.05.18-09.45.39, HierarchicalDDC=, DataSize=4194569, Duration=11.830349, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionIdA750576D42F41B8D649DB0916D8388CD_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_03E6608545D02BD1324CBDAA04FD6__DE1425DD8F03125F5BE6D7BEB1DE7FF769BADEC5, StartTime=2016.05.18-09.45.39, HierarchicalDDC=, DataSize=1048841, Duration=6.575786, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionIdDEB4CA234772EA3B94F6ACB936F06B6C_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_03E6608545D02BD1324CBDAA04FD6__FD14FC4C3B00D1DFBC61AD55FC83BFEA692D19A3, StartTime=2016.05.18-09.45.39, HierarchicalDDC=, DataSize=262407, Duration=3.003072, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionIdDEB4CA234772EA3B94F6ACB936F06B6C_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_03E6608545D02BD1324CBDAA04FD6__4F8F64E8BFB5D111CC6813613E542A18FE55DCEF, StartTime=2016.05.18-09.45.39, HierarchicalDDC=, DataSize=65799, Duration=2.063479, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionIdDEB4CA234772EA3B94F6ACB936F06B6C_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_03E6608545D02BD1324CBDAA04FD6__1BB404479635D2F6CA5B64FFB0064276F289845A, StartTime=2016.05.18-09.45.39, HierarchicalDDC=, DataSize=16647, Duration=2.335932, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
DDCTransactionIdA750576D42F41B8D649DB0916D8388CD_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_03E6608545D02BD1324CBDAA04FD6__8B867E46112D46496D70958B9B1358FDB1483788, StartTime=2016.05.18-09.45.39, HierarchicalDDC=, DataSize=7493, Duration=2.167981, RunGuid=RunIDF8D33FEF458DDDF9C4F5E6BCDBDC519A
